Date,Open,High,Low,Close,Adj Close,Volume,Stock
2023-01-24,2.505,3.52134,2.452,2.462,2.462,9509,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2023-01-25,2.439,2.634,2.413,2.512,2.512,15796,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2023-01-26,2.301,2.384,2.11,2.3385,2.3385,14093,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2023-01-27,2.358,2.358,2.089,2.0875,2.0875,14187,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2023-01-30,2.14,2.248,2.091,2.206,2.206,10284,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2023-01-31,2.363,2.68674,2.363,2.221,2.221,12575,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2023-02-01,2.223,2.248,2.0,2.022,2.022,28370,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2023-02-02,1.834,1.834,1.59,1.6455,1.6455,34976,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2023-02-03,1.711,1.782,1.565,1.569,1.569,65234,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2023-02-06,1.637,1.798,1.583,1.578,1.578,125653,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2023-02-07,1.688,2.18183,1.56,1.5705,1.5705,39738,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2023-02-08,1.376,1.444,1.31,1.4135,1.4135,36963,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2023-02-09,1.456,1.456,1.272,1.294,1.294,37567,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2023-02-10,1.411,1.598,1.387,1.5895,1.5895,29556,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2023-02-13,1.615,1.615,1.458,1.4505,1.4505,43740,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2023-02-14,1.461,1.61758,1.261,1.339,1.339,53975,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2023-02-15,1.35,1.351,1.235,1.31,1.31,88238,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2023-02-16,1.282,1.382,1.282,1.355,1.355,63455,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2023-02-17,1.476,1.551,1.449,1.5555,1.5555,61636,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2023-02-20,1.549,1.549,1.527,1.489,1.489,174,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2023-02-21,1.567,1.585,1.3395,1.593,1.593,43453,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2023-02-22,1.687,1.737,1.596,1.6445,1.6445,39855,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2023-02-23,1.249,1.301,0.892,1.0375,1.0375,550955,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2023-02-24,0.994,1.039,0.97,1.0085,1.0085,424718,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2023-02-27,0.984,0.99,0.934,0.953,0.953,344330,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2023-02-28,0.987,1.26495,0.949,0.9705,0.9705,123626,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
2023-03-01,1.094,1.095,1.007,1.09,1.09,282189,Leverage Shares 3x Short Nvidia (NVDA) ETP Securities (NV3S.L)
